% Model,planar38_lateral_parametric.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 18 2020, 10:34"
% Table,"Study 2, Capacitance - "
% Maxwell capacitance (F),
1.4923235705718757E-11,-1.085867817837E-11
-1.085867817836242E-11,1.4926123616966032E-11
